t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1507910960,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1507910961,10,213.207236,22.170390,0.044224,63.699284,0.051703,3.469613,213.207236,213.207236,213.207236,213.207236,4.178202,0.000000,0.000000,0.000000,calls/second,milliseconds
1507910962,42,213.207236,6.625366,0.009609,32.124476,0.380417,2.249131,12.965817,213.207236,213.207236,213.207236,12.382102,0.000000,0.000000,0.000000,calls/second,milliseconds
1507910963,127,213.207236,3.189045,0.009579,18.638007,0.504388,2.249131,7.797204,13.817653,16.229410,213.207236,29.061879,0.000000,0.000000,0.000000,calls/second,milliseconds
1507910964,278,213.207236,1.780028,0.006849,12.619134,0.452253,1.017245,4.298566,7.805486,13.817653,213.207236,51.787724,42.800000,42.800000,42.800000,calls/second,milliseconds
1507910965,476,213.207236,1.212439,0.006849,9.627985,0.407134,0.761610,3.242991,6.184221,12.318030,213.207236,74.673144,42.800000,42.800000,42.800000,calls/second,milliseconds
1507910966,666,213.207236,0.978534,0.002939,8.120555,0.380417,0.725791,2.677480,4.749332,7.797204,213.207236,90.107764,42.800000,42.800000,42.800000,calls/second,milliseconds
1507910967,866,213.207236,0.896986,0.001936,7.112053,0.349856,0.750161,2.568706,4.696660,7.045974,213.207236,103.069565,42.800000,42.800000,42.800000,calls/second,milliseconds
1507910968,1056,213.207236,0.849286,0.001936,6.516419,0.343666,0.750284,2.458669,4.434427,6.726114,16.229410,112.434369,42.800000,42.800000,42.800000,calls/second,milliseconds
1507910969,1254,213.207236,0.803042,0.001936,6.467066,0.324831,0.748678,2.082168,4.298566,6.146951,16.229410,120.854418,54.825320,45.285893,43.633239,calls/second,milliseconds
1507910970,1452,213.207236,0.758987,0.001936,6.413237,0.343666,0.730379,1.914010,3.705131,5.693435,12.965817,127.628614,54.825320,45.285893,43.633239,calls/second,milliseconds
1507910971,1648,213.207236,0.728074,0.001936,6.374634,0.290760,0.714497,1.759372,3.462995,5.303465,12.965817,133.015930,54.825320,45.285893,43.633239,calls/second,milliseconds
1507910972,1836,213.207236,0.736900,0.001298,6.383043,0.234695,0.710752,1.723567,3.469613,5.400227,20.509025,137.212687,54.825320,45.285893,43.633239,calls/second,milliseconds
1507910973,2002,213.207236,0.721873,0.001298,6.366148,0.272845,0.702387,1.631335,3.101636,4.696660,20.509025,139.782539,54.825320,45.285893,43.633239,calls/second,milliseconds
1507910973,2002,213.207236,0.721873,0.001298,6.366148,0.272845,0.702387,1.631335,3.101636,4.696660,20.509025,139.182439,54.825320,45.285893,43.633239,calls/second,milliseconds
