t,value
1507840556,170393600
1507840557,170393600
1507840558,170393600
1507840559,170393600
1507840560,170393600
1507840561,198705152
1507840562,198705152
1507840563,198705152
1507840564,198705152
1507840565,198705152
1507840566,198705152
1507840567,198705152
1507840568,198705152
1507840569,198705152
1507840570,198705152
1507840571,198705152
1507840572,198705152
1507840573,198705152
1507840574,198705152
1507840575,198705152
1507840576,198705152
1507840577,198705152
1507840578,198705152
1507840579,198705152
1507840580,198705152
1507840581,198705152
1507840582,198705152
1507840583,198705152
1507840584,198705152
1507840585,198705152
1507840586,198705152
1507840587,198705152
1507840588,198705152
1507840589,198705152
