t,value
1507840556,253755392
1507840557,253755392
1507840558,253755392
1507840559,253755392
1507840560,253755392
1507840561,253755392
1507840562,253755392
1507840563,253755392
1507840564,253755392
1507840565,253755392
1507840566,253755392
1507840567,253755392
1507840568,253755392
1507840569,253755392
1507840570,253755392
1507840571,253755392
1507840572,253755392
1507840573,253755392
1507840574,253755392
1507840575,253755392
1507840576,253755392
1507840577,253755392
1507840578,253755392
1507840579,253755392
1507840580,253755392
1507840581,253755392
1507840582,253755392
1507840583,253755392
1507840584,253755392
1507840585,253755392
1507840586,253755392
1507840587,253755392
1507840588,253755392
1507840589,253755392
