t,value
1507910949,38665416
1507910950,33177368
1507910951,33867320
1507910952,35242584
1507910953,35932536
1507910954,36934120
1507910955,38354016
1507910956,39339184
1507910957,40337368
1507910958,41002696
1507910959,63763920
1507910960,64429272
1507910961,65763496
1507910962,66748728
1507910963,67754928
1507910964,68748280
1507910965,69754608
1507910966,70747960
1507910967,72065832
1507910968,72739368
1507910969,73741000
1507910970,74738992
1507910971,75724336
1507910972,76722360
1507910973,78461744
1507910974,79787912
1507910975,80453336
1507910976,81779512
1507910977,82764656
1507910978,83762856
1507910979,84428736
