t,value
1507910949,34865152
1507910950,37289984
1507910951,37355520
1507910952,37486592
1507910953,37552128
1507910954,37552128
1507910955,37683200
1507910956,37683200
1507910957,37814272
1507910958,37814272
1507910959,38731776
1507910960,38797312
1507910961,38797312
1507910962,38797312
1507910963,38797312
1507910964,38797312
1507910965,38797312
1507910966,38797312
1507910967,38797312
1507910968,38797312
1507910969,38797312
1507910970,38797312
1507910971,38797312
1507910972,38797312
1507910973,38862848
1507910974,38862848
1507910975,38862848
1507910976,38993920
1507910977,38993920
1507910978,38993920
1507910979,38993920
