t,value
1507840556,2555904
1507840557,2555904
1507840558,2555904
1507840559,2555904
1507840560,2555904
1507840561,2555904
1507840562,2555904
1507840563,2555904
1507840564,2555904
1507840565,2555904
1507840566,2555904
1507840567,2555904
1507840568,2555904
1507840569,2555904
1507840570,2555904
1507840571,2555904
1507840572,2555904
1507840573,2555904
1507840574,2555904
1507840575,2555904
1507840576,2555904
1507840577,2555904
1507840578,2555904
1507840579,2555904
1507840580,2555904
1507840581,2555904
1507840582,2555904
1507840583,2555904
1507840584,2555904
1507840585,2555904
1507840586,2555904
1507840587,2555904
1507840588,2555904
1507840589,2555904
