t,value
1507840556,-3.4298416E7
1507840557,-3.4476808E7
1507840558,-3.4608504E7
1507840559,-3.4695376E7
1507840560,-3.4777648E7
1507840561,-3.6873472E7
1507840562,-3.6969896E7
1507840563,-3.6988968E7
1507840564,-3.7064848E7
1507840565,-3.7084704E7
1507840566,-3.7147952E7
1507840567,-3.7198152E7
1507840568,-3.7210984E7
1507840569,-3.7215104E7
1507840570,-3.722428E7
1507840571,-3.7238008E7
1507840572,-3.7243768E7
1507840573,-3.7128952E7
1507840574,-3.6985656E7
1507840575,-3.7015992E7
1507840576,-3.703536E7
1507840577,-3.7248888E7
1507840578,-3.7312112E7
1507840579,-3.7335536E7
1507840580,-3.7385152E7
1507840581,-3.7435152E7
1507840582,-3.7452808E7
1507840583,-3.7458048E7
1507840584,-3.7462896E7
1507840585,-3.7466048E7
1507840586,-3.7466048E7
1507840587,-3.7487592E7
1507840588,-3.7503912E7
1507840589,-3.7549096E7
