t,value
1507840556,34302416
1507840557,34476808
1507840558,34612792
1507840559,34695376
1507840560,34777648
1507840561,36874496
1507840562,36970792
1507840563,36988968
1507840564,37064848
1507840565,37084704
1507840566,37147952
1507840567,37198152
1507840568,37210984
1507840569,37215104
1507840570,37224280
1507840571,37238008
1507840572,37243768
1507840573,37128952
1507840574,36985656
1507840575,37015992
1507840576,37040736
1507840577,37248888
1507840578,37312112
1507840579,37335896
1507840580,37385152
1507840581,37435152
1507840582,37452808
1507840583,37458048
1507840584,37463792
1507840585,37466048
1507840586,37466048
1507840587,37487592
1507840588,37503912
1507840589,37549096
