t,value
1507910949,4980736
1507910950,5308416
1507910951,5439488
1507910952,5505024
1507910953,5570560
1507910954,5570560
1507910955,5701632
1507910956,5701632
1507910957,5832704
1507910958,5832704
1507910959,5963776
1507910960,6029312
1507910961,6029312
1507910962,6029312
1507910963,6029312
1507910964,6029312
1507910965,6029312
1507910966,6029312
1507910967,6029312
1507910968,6029312
1507910969,6029312
1507910970,6029312
1507910971,6029312
1507910972,6029312
1507910973,6094848
1507910974,6094848
1507910975,6094848
1507910976,6225920
1507910977,6225920
1507910978,6225920
1507910979,6225920
