t,value
1507910949,251658240
1507910950,251658240
1507910951,251658240
1507910952,251658240
1507910953,251658240
1507910954,251658240
1507910955,251658240
1507910956,251658240
1507910957,251658240
1507910958,251658240
1507910959,251658240
1507910960,251658240
1507910961,251658240
1507910962,251658240
1507910963,251658240
1507910964,251658240
1507910965,251658240
1507910966,251658240
1507910967,251658240
1507910968,251658240
1507910969,251658240
1507910970,251658240
1507910971,251658240
1507910972,251658240
1507910973,251658240
1507910974,251658240
1507910975,251658240
1507910976,251658240
1507910977,251658240
1507910978,251658240
1507910979,251658240
