t,value
1507910949,4899328
1507910950,5268800
1507910951,5357440
1507910952,5431488
1507910953,5491392
1507910954,5527744
1507910955,5617280
1507910956,5670592
1507910957,5774656
1507910958,5784960
1507910959,5924352
1507910960,5950848
1507910961,5954688
1507910962,5957632
1507910963,5959680
1507910964,5975424
1507910965,5854976
1507910966,5856896
1507910967,5876032
1507910968,5882816
1507910969,5888768
1507910970,5926080
1507910971,5930880
1507910972,5938496
1507910973,6028288
1507910974,6036608
1507910975,6052032
1507910976,6107456
1507910977,6110976
1507910978,6110976
1507910979,6116416
