t,value
1507840556,3538944
1507840557,3538944
1507840558,3538944
1507840559,3538944
1507840560,3538944
1507840561,3801088
1507840562,3801088
1507840563,3801088
1507840564,3801088
1507840565,3801088
1507840566,3801088
1507840567,3801088
1507840568,3801088
1507840569,3801088
1507840570,3801088
1507840571,3801088
1507840572,3801088
1507840573,3801088
1507840574,3932160
1507840575,3932160
1507840576,3932160
1507840577,3932160
1507840578,3932160
1507840579,3932160
1507840580,3932160
1507840581,3932160
1507840582,3932160
1507840583,3932160
1507840584,3932160
1507840585,3932160
1507840586,3932160
1507840587,3932160
1507840588,3932160
1507840589,3932160
