t,value
1507840556,3433056
1507840557,3435872
1507840558,3435872
1507840559,3435872
1507840560,3435872
1507840561,3628528
1507840562,3628528
1507840563,3628528
1507840564,3628528
1507840565,3628528
1507840566,3628528
1507840567,3628528
1507840568,3628528
1507840569,3628528
1507840570,3628528
1507840571,3628528
1507840572,3628528
1507840573,3628528
1507840574,3704400
1507840575,3704400
1507840576,3704400
1507840577,3727088
1507840578,3727088
1507840579,3727088
1507840580,3727088
1507840581,3727088
1507840582,3727088
1507840583,3727088
1507840584,3727088
1507840585,3727088
1507840586,3727088
1507840587,3729648
1507840588,3729648
1507840589,3729648
