t,value
1507910949,26345472
1507910950,28180480
1507910951,28180480
1507910952,28180480
1507910953,28180480
1507910954,28180480
1507910955,28180480
1507910956,28180480
1507910957,28180480
1507910958,28180480
1507910959,28835840
1507910960,28835840
1507910961,28835840
1507910962,28835840
1507910963,28835840
1507910964,28835840
1507910965,28835840
1507910966,28835840
1507910967,28835840
1507910968,28835840
1507910969,28835840
1507910970,28835840
1507910971,28835840
1507910972,28835840
1507910973,28835840
1507910974,28835840
1507910975,28835840
1507910976,28835840
1507910977,28835840
1507910978,28835840
1507910979,28835840
