t,value
1507910949,25904576
1507910950,27537896
1507910951,27563608
1507910952,27570888
1507910953,27583760
1507910954,27588240
1507910955,27609664
1507910956,27622240
1507910957,27637584
1507910958,27637888
1507910959,28136216
1507910960,28139640
1507910961,28139640
1507910962,28139640
1507910963,28139640
1507910964,28140336
1507910965,28142432
1507910966,28142432
1507910967,28142432
1507910968,28142464
1507910969,28142464
1507910970,28142808
1507910971,28143496
1507910972,28146240
1507910973,28247504
1507910974,28248928
1507910975,28250600
1507910976,28259568
1507910977,28260808
1507910978,28260808
1507910979,28271232
