t,value
1507840556,63438848
1507840557,63438848
1507840558,63438848
1507840559,63438848
1507840560,63438848
1507840561,95420416
1507840562,95420416
1507840563,95420416
1507840564,95420416
1507840565,95420416
1507840566,95420416
1507840567,95420416
1507840568,95420416
1507840569,95420416
1507840570,95420416
1507840571,95420416
1507840572,95420416
1507840573,95420416
1507840574,95420416
1507840575,95420416
1507840576,95420416
1507840577,95420416
1507840578,95420416
1507840579,95420416
1507840580,95420416
1507840581,95420416
1507840582,95420416
1507840583,95420416
1507840584,95420416
1507840585,95420416
1507840586,95420416
1507840587,95420416
1507840588,95420416
1507840589,95420416
