t,value
1507910949,63438848
1507910950,63438848
1507910951,63438848
1507910952,63438848
1507910953,63438848
1507910954,63438848
1507910955,63438848
1507910956,63438848
1507910957,63438848
1507910958,63438848
1507910959,63438848
1507910960,63438848
1507910961,63438848
1507910962,63438848
1507910963,63438848
1507910964,63438848
1507910965,63438848
1507910966,63438848
1507910967,63438848
1507910968,63438848
1507910969,63438848
1507910970,63438848
1507910971,63438848
1507910972,63438848
1507910973,63438848
1507910974,63438848
1507910975,63438848
1507910976,63438848
1507910977,63438848
1507910978,63438848
1507910979,63438848
