t,value
1507910949,336592896
1507910950,340262912
1507910951,340262912
1507910952,340262912
1507910953,340262912
1507910954,340262912
1507910955,340262912
1507910956,340262912
1507910957,340262912
1507910958,340262912
1507910959,340262912
1507910960,340262912
1507910961,340262912
1507910962,340262912
1507910963,340262912
1507910964,340262912
1507910965,340262912
1507910966,340262912
1507910967,340262912
1507910968,340262912
1507910969,340262912
1507910970,340262912
1507910971,340262912
1507910972,340262912
1507910973,340262912
1507910974,340262912
1507910975,340262912
1507910976,340262912
1507910977,340262912
1507910978,340262912
1507910979,340262912
