t,value
1507910949,33997248
1507910950,4977392
1507910951,5675552
1507910952,7050816
1507910953,7724376
1507910954,8734144
1507910955,10145832
1507910956,11131000
1507910957,12129184
1507910958,13114376
1507910959,35555736
1507910960,36549112
1507910961,37555312
1507910962,38540544
1507910963,39866560
1507910964,40540096
1507910965,41546424
1507910966,42539776
1507910967,43524984
1507910968,44859280
1507910969,45532816
1507910970,46850624
1507910971,47516152
1507910972,48833992
1507910973,50573424
1507910974,51579728
1507910975,52565128
1507910976,53571328
1507910977,54556472
1507910978,55554920
1507910979,56540368
