t,value
1507910949,96993280
1507910950,96993280
1507910951,96993280
1507910952,96993280
1507910953,96993280
1507910954,96993280
1507910955,96993280
1507910956,96993280
1507910957,96993280
1507910958,96993280
1507910959,96993280
1507910960,96993280
1507910961,96993280
1507910962,96993280
1507910963,96993280
1507910964,96993280
1507910965,96993280
1507910966,96993280
1507910967,96993280
1507910968,96993280
1507910969,96993280
1507910970,96993280
1507910971,96993280
1507910972,96993280
1507910973,96993280
1507910974,96993280
1507910975,96993280
1507910976,96993280
1507910977,96993280
1507910978,96993280
1507910979,96993280
