t,value
1507840556,169345024
1507840557,169345024
1507840558,169345024
1507840559,169345024
1507840560,169345024
1507840561,169345024
1507840562,169345024
1507840563,169345024
1507840564,169345024
1507840565,169345024
1507840566,169345024
1507840567,169345024
1507840568,169345024
1507840569,169345024
1507840570,169345024
1507840571,169345024
1507840572,169345024
1507840573,169345024
1507840574,169345024
1507840575,169345024
1507840576,169345024
1507840577,169345024
1507840578,169345024
1507840579,169345024
1507840580,169345024
1507840581,169345024
1507840582,169345024
1507840583,169345024
1507840584,169345024
1507840585,169345024
1507840586,169345024
1507840587,169345024
1507840588,169345024
1507840589,169345024
