t,value
1507840556,5087544
1507840557,5087544
1507840558,5087544
1507840559,5087544
1507840560,5087544
1507840561,5095736
1507840562,5095736
1507840563,5095736
1507840564,5095736
1507840565,5095736
1507840566,5095736
1507840567,5095736
1507840568,5095736
1507840569,5095736
1507840570,5095736
1507840571,5095736
1507840572,5095736
1507840573,5095736
1507840574,5095736
1507840575,5095736
1507840576,5095736
1507840577,5095736
1507840578,5095736
1507840579,5095736
1507840580,5095736
1507840581,5095736
1507840582,5095736
1507840583,5095736
1507840584,5095736
1507840585,5095736
1507840586,5095736
1507840587,5095736
1507840588,5095736
1507840589,5095736
