t,value
1507840556,10485760
1507840557,10485760
1507840558,10485760
1507840559,10485760
1507840560,10485760
1507840561,6815744
1507840562,6815744
1507840563,6815744
1507840564,6815744
1507840565,6815744
1507840566,6815744
1507840567,6815744
1507840568,6815744
1507840569,6815744
1507840570,6815744
1507840571,6815744
1507840572,6815744
1507840573,6815744
1507840574,6815744
1507840575,6815744
1507840576,6815744
1507840577,6815744
1507840578,6815744
1507840579,6815744
1507840580,6815744
1507840581,6815744
1507840582,6815744
1507840583,6815744
1507840584,6815744
1507840585,6815744
1507840586,6815744
1507840587,6815744
1507840588,6815744
1507840589,6815744
