t,value
1507910949,0
1507910950,6656128
1507910951,6656128
1507910952,6656128
1507910953,6656128
1507910954,6656128
1507910955,6656128
1507910956,6656128
1507910957,6656128
1507910958,6656128
1507910959,6656128
1507910960,6656128
1507910961,6656128
1507910962,6656128
1507910963,6656128
1507910964,6656128
1507910965,6656128
1507910966,6656128
1507910967,6656128
1507910968,6656128
1507910969,6656128
1507910970,6656128
1507910971,6656128
1507910972,6656128
1507910973,6656128
1507910974,6656128
1507910975,6656128
1507910976,6656128
1507910977,6656128
1507910978,6656128
1507910979,6656128
