t,value
1507840556,205389824
1507840557,205455360
1507840558,205783040
1507840559,205848576
1507840560,205914112
1507840561,236453888
1507840562,236519424
1507840563,236519424
1507840564,236584960
1507840565,236584960
1507840566,236650496
1507840567,236716032
1507840568,236716032
1507840569,236716032
1507840570,236716032
1507840571,236716032
1507840572,236716032
1507840573,236716032
1507840574,237502464
1507840575,237502464
1507840576,237502464
1507840577,237502464
1507840578,237502464
1507840579,237502464
1507840580,237502464
1507840581,237502464
1507840582,237502464
1507840583,237502464
1507840584,237502464
1507840585,237502464
1507840586,237502464
1507840587,237502464
1507840588,237502464
1507840589,237502464
