t,value
1507910949,73378120
1507910950,69998552
1507910951,71139296
1507910952,72247272
1507910953,73327832
1507910954,74370936
1507910955,75567680
1507910956,76955112
1507910957,77721544
1507910958,79058160
1507910959,101870000
1507910960,103226440
1507910961,103902216
1507910962,105231264
1507910963,106218456
1507910964,107109192
1507910965,107796408
1507910966,109124368
1507910967,110138688
1507910968,111138160
1507910969,112149992
1507910970,113175792
1507910971,114175800
1507910972,115174056
1507910973,117469176
1507910974,118144384
1507910975,119483944
1507910976,120213280
1507910977,121535848
1507910978,122201632
1507910979,123538312
