t,value
1507840562,228589568
1507840563,228589568
1507840564,228589568
1507840565,228589568
1507840566,228589568
1507840567,228589568
1507840568,228589568
1507840569,228589568
1507840570,228589568
1507840571,228589568
1507840572,228589568
1507840573,228589568
1507840574,228589568
1507840575,228589568
1507840576,228589568
1507840577,228589568
1507840578,228589568
1507840579,228589568
1507840580,228589568
1507840581,228589568
1507840582,228589568
1507840583,228589568
1507840584,228589568
1507840585,228589568
1507840586,228589568
