t,value
1507910950,253755392
1507910951,253755392
1507910952,253755392
1507910953,253755392
1507910954,253755392
1507910955,253755392
1507910956,253755392
1507910957,253755392
1507910958,253755392
1507910959,253755392
1507910960,253755392
1507910961,253755392
1507910962,253755392
1507910963,253755392
1507910964,253755392
1507910965,253755392
1507910966,253755392
1507910967,253755392
1507910968,253755392
1507910969,253755392
1507910970,253755392
1507910971,253755392
1507910972,253755392
1507910973,253755392
1507910974,253755392
1507910975,253755392
1507910976,253755392
1507910977,253755392
