t,value
1507910950,76369368
1507910951,77215328
1507910952,78069384
1507910953,78915232
1507910954,79761080
1507910955,80606928
1507910956,80606928
1507910957,81452776
1507910958,82298624
1507910959,90969752
1507910960,112399400
1507910961,113245248
1507910962,114091096
1507910963,114936944
1507910964,115782792
1507910965,117897664
1507910966,118743512
1507910967,119589360
1507910968,120435208
1507910969,121281056
1507910970,122126904
1507910971,122972752
1507910972,123818600
1507910973,129317176
1507910974,130163200
1507910975,131009048
1507910976,131854896
1507910977,132119928
