t,value
1507840562,36700160
1507840563,37027840
1507840564,37093376
1507840565,37158912
1507840566,37224448
1507840567,37289984
1507840568,37355520
1507840569,37421056
1507840570,37421056
1507840571,37421056
1507840572,37486592
1507840573,37552128
1507840574,37945344
1507840575,38666240
1507840576,38666240
1507840577,39256064
1507840578,39256064
1507840579,39256064
1507840580,39256064
1507840581,39256064
1507840582,39256064
1507840583,39321600
1507840584,39321600
1507840585,39321600
1507840586,39321600
