t,value
1507840562,-3.6034432E7
1507840563,-3.6230464E7
1507840564,-3.6320576E7
1507840565,-3.6408E7
1507840566,-3.6484064E7
1507840567,-3.653624E7
1507840568,-3.661272E7
1507840569,-3.6676568E7
1507840570,-3.6711944E7
1507840571,-3.6734112E7
1507840572,-3.6776392E7
1507840573,-3.6800976E7
1507840574,-3.7307296E7
1507840575,-3.7899352E7
1507840576,-3.8009824E7
1507840577,-3.8511736E7
1507840578,-3.8388768E7
1507840579,-3.8391968E7
1507840580,-3.8393312E7
1507840581,-3.8447512E7
1507840582,-3.8469848E7
1507840583,-3.8521904E7
1507840584,-3.8522864E7
1507840585,-3.8526416E7
1507840586,-3.8537776E7
