t,value
1507840562,36035584
1507840563,36231488
1507840564,36322408
1507840565,36409024
1507840566,36484064
1507840567,36536240
1507840568,36612720
1507840569,36676568
1507840570,36711944
1507840571,36734112
1507840572,36776392
1507840573,36801264
1507840574,37307296
1507840575,37899352
1507840576,38009824
1507840577,38511736
1507840578,38388768
1507840579,38391968
1507840580,38393312
1507840581,38447512
1507840582,38469848
1507840583,38521904
1507840584,38522864
1507840585,38526416
1507840586,38537776
