t,value
1507910950,4915200
1507910951,4980736
1507910952,5046272
1507910953,5177344
1507910954,5242880
1507910955,5308416
1507910956,5373952
1507910957,5439488
1507910958,5439488
1507910959,5767168
1507910960,5767168
1507910961,5832704
1507910962,5898240
1507910963,5898240
1507910964,5898240
1507910965,5898240
1507910966,5963776
1507910967,5963776
1507910968,5963776
1507910969,5963776
1507910970,5963776
1507910971,6029312
1507910972,6029312
1507910973,6094848
1507910974,6094848
1507910975,6094848
1507910976,6094848
1507910977,6094848
