t,value
1507910950,2555904
1507910951,2555904
1507910952,2555904
1507910953,2555904
1507910954,2555904
1507910955,2555904
1507910956,2555904
1507910957,2555904
1507910958,2555904
1507910959,2555904
1507910960,2555904
1507910961,2555904
1507910962,2555904
1507910963,2555904
1507910964,2555904
1507910965,2555904
1507910966,2555904
1507910967,2555904
1507910968,2555904
1507910969,2555904
1507910970,2555904
1507910971,2555904
1507910972,2555904
1507910973,2555904
1507910974,2555904
1507910975,2555904
1507910976,2555904
1507910977,2555904
