t,value
1507840562,251658240
1507840563,251658240
1507840564,251658240
1507840565,251658240
1507840566,251658240
1507840567,251658240
1507840568,251658240
1507840569,251658240
1507840570,251658240
1507840571,251658240
1507840572,251658240
1507840573,251658240
1507840574,251658240
1507840575,251658240
1507840576,251658240
1507840577,251658240
1507840578,251658240
1507840579,251658240
1507840580,251658240
1507840581,251658240
1507840582,251658240
1507840583,251658240
1507840584,251658240
1507840585,251658240
1507840586,251658240
