t,value
1507910950,4855296
1507910951,4955328
1507910952,5018560
1507910953,5101696
1507910954,5184512
1507910955,5242816
1507910956,5305280
1507910957,5367552
1507910958,5381760
1507910959,5672896
1507910960,5733120
1507910961,5745920
1507910962,5808320
1507910963,5818496
1507910964,5827008
1507910965,5832448
1507910966,5879360
1507910967,5882368
1507910968,5883712
1507910969,5885120
1507910970,5915776
1507910971,5938944
1507910972,5945920
1507910973,5889984
1507910974,5915264
1507910975,5920704
1507910976,5927424
1507910977,5928960
