t,value
1507910950,1073741824
1507910951,1073741824
1507910952,1073741824
1507910953,1073741824
1507910954,1073741824
1507910955,1073741824
1507910956,1073741824
1507910957,1073741824
1507910958,1073741824
1507910959,1073741824
1507910960,1073741824
1507910961,1073741824
1507910962,1073741824
1507910963,1073741824
1507910964,1073741824
1507910965,1073741824
1507910966,1073741824
1507910967,1073741824
1507910968,1073741824
1507910969,1073741824
1507910970,1073741824
1507910971,1073741824
1507910972,1073741824
1507910973,1073741824
1507910974,1073741824
1507910975,1073741824
1507910976,1073741824
1507910977,1073741824
