t,value
1507910950,3644216
1507910951,3649496
1507910952,3649496
1507910953,3649496
1507910954,3649496
1507910955,3649496
1507910956,3649496
1507910957,3649496
1507910958,3649496
1507910959,3747368
1507910960,3759416
1507910961,3759416
1507910962,3759416
1507910963,3759416
1507910964,3759416
1507910965,3759416
1507910966,3759416
1507910967,3759416
1507910968,3759416
1507910969,3759416
1507910970,3759416
1507910971,3759416
1507910972,3759416
1507910973,3812592
1507910974,3812592
1507910975,3812592
1507910976,3812592
1507910977,3812592
