t,value
1507840562,27918336
1507840563,28180480
1507840564,28180480
1507840565,28180480
1507840566,28180480
1507840567,28180480
1507840568,28180480
1507840569,28180480
1507840570,28180480
1507840571,28180480
1507840572,28180480
1507840573,28180480
1507840574,28442624
1507840575,28835840
1507840576,28835840
1507840577,29360128
1507840578,29360128
1507840579,29360128
1507840580,29360128
1507840581,29360128
1507840582,29360128
1507840583,29360128
1507840584,29360128
1507840585,29360128
1507840586,29360128
