t,value
1507910950,27501576
1507910951,27567344
1507910952,27594184
1507910953,27613856
1507910954,27625608
1507910955,27633744
1507910956,27637880
1507910957,27645624
1507910958,27656392
1507910959,28316640
1507910960,28388456
1507910961,28392496
1507910962,28398504
1507910963,28402096
1507910964,28402728
1507910965,28403416
1507910966,28409112
1507910967,28409112
1507910968,28409112
1507910969,28409112
1507910970,28409112
1507910971,28418504
1507910972,28418504
1507910973,28790712
1507910974,28790712
1507910975,28790712
1507910976,28791000
1507910977,28791000
