t,value
1507840562,126877696
1507840563,126877696
1507840564,126877696
1507840565,126877696
1507840566,126877696
1507840567,126877696
1507840568,126877696
1507840569,126877696
1507840570,126877696
1507840571,126877696
1507840572,126877696
1507840573,126877696
1507840574,126877696
1507840575,126877696
1507840576,126877696
1507840577,126877696
1507840578,126877696
1507840579,126877696
1507840580,126877696
1507840581,126877696
1507840582,126877696
1507840583,126877696
1507840584,126877696
1507840585,126877696
1507840586,126877696
