t,value
1507840562,336592896
1507840563,336592896
1507840564,336592896
1507840565,336592896
1507840566,336592896
1507840567,336592896
1507840568,336592896
1507840569,336592896
1507840570,336592896
1507840571,336592896
1507840572,336592896
1507840573,336592896
1507840574,336592896
1507840575,336592896
1507840576,336592896
1507840577,336592896
1507840578,336592896
1507840579,336592896
1507840580,336592896
1507840581,336592896
1507840582,336592896
1507840583,336592896
1507840584,336592896
1507840585,336592896
1507840586,336592896
