t,value
1507910950,71127136
1507910951,71973096
1507910952,72827152
1507910953,73673000
1507910954,74518848
1507910955,75364696
1507910956,76210544
1507910957,77056392
1507910958,77902240
1507910959,86573368
1507910960,108003016
1507910961,108848864
1507910962,109694712
1507910963,110540560
1507910964,111386408
1507910965,112655432
1507910966,113501280
1507910967,114347128
1507910968,115192976
1507910969,116038824
1507910970,116884672
1507910971,117730520
1507910972,118576368
1507910973,124074944
1507910974,124920968
1507910975,125766816
1507910976,126612664
1507910977,1050784
