t,value
1507840562,91226112
1507840563,91226112
1507840564,91226112
1507840565,91226112
1507840566,91226112
1507840567,91226112
1507840568,91226112
1507840569,91226112
1507840570,91226112
1507840571,91226112
1507840572,91226112
1507840573,91226112
1507840574,91226112
1507840575,91226112
1507840576,91226112
1507840577,91226112
1507840578,91226112
1507840579,91226112
1507840580,91226112
1507840581,91226112
1507840582,91226112
1507840583,91226112
1507840584,91226112
1507840585,91226112
1507840586,91226112
