t,value
1507910950,5242232
1507910951,5242232
1507910952,5242232
1507910953,5242232
1507910954,5242232
1507910955,5242232
1507910956,5242232
1507910957,5242232
1507910958,5242232
1507910959,5242232
1507910960,5242232
1507910961,5242232
1507910962,5242232
1507910963,5242232
1507910964,5242232
1507910965,5242232
1507910966,5242232
1507910967,5242232
1507910968,5242232
1507910969,5242232
1507910970,5242232
1507910971,5242232
1507910972,5242232
1507910973,5242232
1507910974,5242232
1507910975,5242232
1507910976,5242232
1507910977,38804888
