t,value
1507840562,10485760
1507840563,10485760
1507840564,10485760
1507840565,10485760
1507840566,10485760
1507840567,10485760
1507840568,10485760
1507840569,10485760
1507840570,10485760
1507840571,10485760
1507840572,10485760
1507840573,10485760
1507840574,10485760
1507840575,10485760
1507840576,10485760
1507840577,10485760
1507840578,10485760
1507840579,10485760
1507840580,10485760
1507840581,10485760
1507840582,10485760
1507840583,10485760
1507840584,10485760
1507840585,10485760
1507840586,10485760
