t,value
1507910950,10485760
1507910951,10485760
1507910952,10485760
1507910953,10485760
1507910954,10485760
1507910955,10485760
1507910956,10485760
1507910957,10485760
1507910958,10485760
1507910959,10485760
1507910960,10485760
1507910961,10485760
1507910962,10485760
1507910963,10485760
1507910964,10485760
1507910965,10485760
1507910966,10485760
1507910967,10485760
1507910968,10485760
1507910969,10485760
1507910970,10485760
1507910971,10485760
1507910972,10485760
1507910973,10485760
1507910974,10485760
1507910975,10485760
1507910976,10485760
1507910977,8912896
