t,value
1507910950,265289728
1507910951,265617408
1507910952,265682944
1507910953,265748480
1507910954,265814016
1507910955,265879552
1507910956,265945088
1507910957,266010624
1507910958,266010624
1507910959,267124736
1507910960,267124736
1507910961,267190272
1507910962,267255808
1507910963,267255808
1507910964,267255808
1507910965,267255808
1507910966,267321344
1507910967,267321344
1507910968,267321344
1507910969,267321344
1507910970,267321344
1507910971,267386880
1507910972,267386880
1507910973,267976704
1507910974,267976704
1507910975,267976704
1507910976,267976704
1507910977,341377024
