t,value
1507910950,954728447
1507910951,954728447
1507910952,954728447
1507910953,954728447
1507910954,954728447
1507910955,954728447
1507910956,954728447
1507910957,954728447
1507910958,954728447
1507910959,954728447
1507910960,954728447
1507910961,954728447
1507910962,954728447
1507910963,954728447
1507910964,954728447
1507910965,954728447
1507910966,954728447
1507910967,954728447
1507910968,954728447
1507910969,954728447
1507910970,954728447
1507910971,954728447
1507910972,954728447
1507910973,954728447
1507910974,954728447
1507910975,954728447
1507910976,954728447
1507910977,954728447
