t,value
1507910950,112432400
1507910951,113423632
1507910952,114361032
1507910953,115300952
1507910954,116229464
1507910955,117132984
1507910956,118061672
1507910957,118961296
1507910958,119843256
1507910959,129566480
1507910960,151126240
1507910961,151988928
1507910962,152904080
1507910963,153762800
1507910964,154617792
1507910965,156738792
1507910966,157637248
1507910967,158486104
1507910968,159333296
1507910969,159334704
1507910970,160211208
1507910971,161089616
1507910972,161942440
1507910973,167811232
1507910974,168681768
1507910975,169534112
1507910976,170385912
1507910977,86907184
